passenger_name,role_hint
"Claude Pepper with friends celebrating his 86th Birthday on the former Presidential Yacht, the USS Sequoia.",
Clement Attlee,PM of UK
Clifford Saylor,FFA National VP of Pacific Region
Col. Chester L. Ward,Assistant Physician
"Col. Edwin ""Pa"" Watson",Senior Military Aide
"Col. H.G. Davids, Mrs. Davids, Mrs. Albert Niblack",Mary Augusta Harrington
"Col. Henry L. Roosevelt, Dr. Ross T. McIntire",Physician to the President
Col. Louis Howe,Secretary to the President
Col. Louis M. Howe,Private Secretary to the President
Colin Powell,Secretary of State
Colonel Campbell B. Hodges,Military Aide
Colonel J. Monroe Johnson,Assistant Secretary of Commerce
"Cong Wright Patman, H. E. Sir Keith Waller",Ambassador
Cong.,
"Cong. Wright Patman, Cong.",
Congressman,
"Connally, Shultz, Ehrlichman",
Controllers of the \[British\] Navy),
Costopoulos,Greek Foreign Minister
"Counselor, Minister of Foreign Affairs)",
"Courtenay Valenti, George Christian)",
"Courtenay, Attorney General",
"Courtenay, Fanny McCammon, Cong.",
"Courtenay, Mary Slater, Mr.",
"Courtenay, Mr.",
"Courtenay, Mrs. Emmett Riordan, Commissioner Willard Deason, Mr.",
"Courtenay, Susan Stevenson",
Craig Hosmer,R-CA
"Cricket Laun, David",
"Curtis “Buzzie” Roosevelt Dall, Lorena Alice ""Hick"" Hickok",
Cynthia H. Milligan,friends of the Eisenhowers
Dale Edgecombe,IL FFA
Dan H. Kuykendall,R-TN
"Daniel Moynihan, Henry Kissinger, Dwight Chapin, other White House executive interns",
"Darlene Lebedev, Andre",
Darlene Wimer,
Daryl Sywassink,IA FFA
"date Vance Campbell, Marie, John Criswell, Mr.",
dates,
"dates., Dick Bird",
"daughter, the Warren \[Mcgunners\], Bill",
David,
David Bell,Administrator USAID
David C. Stewart Jr.,
David E. Satterfield III,D-VA
"David Eisenhower, C.G. Rebozo, Rose Mary Woods, Patrick J. Buchanan, Walter R. Tkach, Col. James Donald ""Don"" Hughes",
"David Eisenhower, Julie Eisenhower, Susan Eisenhower",
"David Eisenhower, Rosemary Woods",secretary
"David Eisenhower, Tricia Nixon",
David Limmer,WY FFA
Dean Acheson,Secretary of State
Dean Rusk,Secretary of State
Department,
Deputy Assistant Edward L. Morgan,
"Diana MacArthur, Charlotte",
"Diana Vickerman, Willy Von Raab with Robin)",
"Dick Schwartz, Labor Department representative John Cushman",DOJ
Director Herbert B. Klein),
Director of Anglo Persian Oil Company,
Director Suez Canal Company),
Disarmament AgencyDirector),
"Don Rumsfeld, SOS Group",
"Donald Nelson and Admiral Sherman, [Albert \[Lasker\]]",https://en.wikipedia.org/wiki/Albert_Lasker
Dorothy Onslow,Viscountess Halifax
Douglas P. Bennett,
Dr. Eduardo Uribe,Colombia
Dr. Guillermo Patterson,Ambassador of Cuba
Dr. Guillermo Seville-Sacasa,Nicaragua
Dr. Harvey Cushing,
Dr. Jan Snobl,Charge d’affaires of Czechoslovak Socialist Republic
Dr. Norbert Barrenechea,Argentina
"Dr. Ogden f. Edwards, and Mrs. Ogden f. Edwards",\*\*\*
Dr. Robert A. Millikan,physicist
Dr. Ross T. McIntire,Physician to the President
Dr. Samuel Adams,
Dr. Vernon Kellogg,zoologist
Drama class students of the Marlton school for the deaf,
E.G. Shuster,R-PA
Earl Warren,Chief Justice of the Supreme Court
Edward J. Derwinski,R-IL
"Edward Moore, Prof. Ray Moley, Misses Margaret Lynch ""Daisy"" Suckley, Virginia Livingston Hunt",distant cousin of Eleanor
Edward Stettinius,Under Secretary of State
"Ehrlichman, Ken Cole, Tod Hullin, Ed Morgan, Dick Nathan, Lew Butler, Secretary Richardson, staff",
eight unnamed guests,
Eleanor Roosevelt,First Lady
Eleanor Roosevelt),
Elford A. Cederberg,R-MI
"Elizabeth Dale, Mike",
Emil Reutzel,Nebraska newspaper editor on leave cabinet representative of Office of Civil Defense Mobilization Governor Hoegh
"Emmet Riordan, Luci",
"Emmett, Mary Margaret",
Emperor Hirohito,
Empress of Japan,
Ensign,
"Ethel DuPont, Mrs. John Knowlton, John Roosevelt, James Roosevelt, Mrs. James Roosevelt",Betsey Cushing Roosevelt Whitney
Exchange Commission),
F. Edward Herbert,D-LA
"Fal Johnson, Secretary Harry Dent, Secretary Peter Brennan, others",
"FDR, Marguerite Alice ""Missy"" LeHand, Felix Frankfurter, August ""Gus"" Adolph Gennerich",Secret Service
Felix Frankfurter,Supreme Court Justice
"Felix Frankfurter, Marguerite Alice ""Missy"" LeHand, Grace G. Tully, Capt. Wilson Brown)",Naval Aide
Ferdinand Eberstadt (Chairman of the Army,
first black person to hold this position),
Flanigan,
"Flanigan, Scowcroft, Haldeman, Exec office staff",
Fleet Admiral William D. Leahy,Chief of Staff to the Commander in Chief
Floyd Boring,Secret Service
former Ambassador to Vichy France),
former captain of the Presidential yacht Mayflower),
Former Law Partner of FDR),
Former Surgeon of Presidential Yacht Mayflower),
"Frances Dunn, Curt Fee",
"Frank G. Zarb, Mr.",
Frank Knox,Sec. of Navy
"Frank Knox, Lord Halifax",British Ambassador
Frank Zarb,
"Franklin D. Roosevelt, Jr, August ""Gus"" Adolph Gennerich",Secret Service
Franklin Delano Roosevelt,POTUS
"Franklin Delano Roosevelt (POTUS, Eleanor Roosevelt",First Lady
"Franklin Delano Roosevelt, Marguerite Alice ""Missy"" LeHand, Eleanor Roosevelt",First Lady
"Franny McCammon, Mr.",
Fred Korth,Secretary of Navy
Fred M. Vinson,"Chief Justice June 21, 1946 – September 8, 1953"
Fred Malek from the Committee for the Reelection of the President,
friend of Honey Fitz),
From the U.S. \- Secretary Carla Hills and Mr. Roderick Hills and Ambassador James Lynn and Arthur A. Hartman and Mrs. Hartman,Assistant Secretary of the State for European Affairs
G. Dresser,Secret Service
G.V. “Sonny” Montgomery,D-MS
"Gale McGee, Lorraine McGee, Mr. Tom Korologos",
"Garden Club, Stu Udall, Jane Freeman, Libby Rowe, Bill Walton)",
Gates at the cabinet debriefing sessions),
Gen. Charles Lindemann,
"Gen. George C. Marshall, Gen. Henry Harley ""Hap"" Arnold, Gen. Brehon B. Somervell, Secs. Robert A. Lovett, Ralph Austin Bard, John J. McCloy, Artemus Lamb Gates",
"General Alexander M. Haig, Jr.",
"General Alexander M. Haig, Jr., Dr. Chester L. Ward",Personal Physician
"General Alexander M. Haig, Jr., Major General Walter R. Tkach",Personal Physician
"General Alexander M. Haig, Jr., Mr. Ron Ziegler",
"General Alexander M. Haig, Jr., Special Advisor John B. Connally",
General Carl Spaatz,
"General Counsels Stan Harsch, Jack Stempler, Charles Ablard, Carl E. Bakke, Martin R. Hoffman, Robert E. Montgomery, Jr., Harold S. Trimmer, John B. Rhinelander, Robert R. Elliott, Edward Hidalgo, Kent Frizzell, Ralph E. Becker, Edward Levi, Harold Tyler, Robert H. Bork, Rex Lee, Wallace H. Johnson, Antonin Scalia, Michael Uhlmann, Doug Marvin, William J. Kilberg, R. Tenney Johnson, E. Grey Lewis, Cal Collier, Peter T. Straub, H. Gregory Austin, Peter G. Powers, Monroe Leigh, Eugene Eyster, Richard C. Albrecht, David H. Martin, John J. Corcoran, Richard Parsons, Peter Wallison, John Warner",
General Dwight D. Eisenhower,Chief of Staff of the Army
"General Dwight David Eisenhower, U.S. Fleet Admiral Chester W. Nimitz",
General Dwight Eisenhower,Chief of Staff of the Army
General Hoyt S. Vrandenberg,Director of Intelligence on the War Department general staff
"General James D. Hughes, Art Sampson, Pomponio Brothers",
General John H. Russell,Commandant of the Marine Corps
General Louis McCarty Little,Asst. Commandant of the Marine Corps
General Thomas T. Handy,"Deputy Chief of Staff, United States Army"
George Ball),Undersecretary of State
George Becker),cabinet assistant for Commerce
"George Burns, Lynda Carter, Ann Jillian, Loretta Lynn, Barbara Mandrell, George C. Scott, Kermit the Frog",?
George F. Kennan,\*\*\*
George Harrison,President of the Federal Reserve Bank of New York
George P. Shultz,"Director, OMB"
George S. Springsteen,Special Assistant to the Under Secretary
"Gerald Ford, Betty Ford, Nelson Rockefeller, Happy Rockefeller",
"Gerald Ford, Prime Minister Pierre Elliot Trudeau, Ambassador Jack H. Warren, Ivan Head, Henry A. Kissinger, Lt. Gen. Brent Scowcroft, Ambassador Thomas O. Enders, Donald MacDonald",
"Gerald Ford, the First Lady, Mr.",
"Gerald Ford, the First Lady, Nelson A. Rockefeller",VP
Gerri Whittington (personal secretary to President,
Glenn R. Davis,R-WI
Gonzalo J. Facio,Costa Rica
Grace Craycroft Carney,
Graham McCarroll,stepson
"Grant \[X\], Cong.",
Greg Smith,ME FFA
group of nuns.,
guests,
H. E. Ahmed Mohamed Adan,Somali Republic
H. E. Ahmed-Baba Miske,Islamic Republic of Mauritania
H. E. Alexander A. Matsas,Greece
H. E. Alfred Zehnder,Switzerland
H. E. Braj Kumar Nehru,India
H. E. Celestin Kabanda,Republic of Rwanda
H. E. Dr. Abdul Majid,Afghanistan
H. E. Dr. Enrique Tejera-Paris,Venezuela
H. E. Dr. Karel Duda,Czechoslovak Socialist Republic
H. E. Dr. Mostafa Kamel,United Arab Republic
H. E. Dr. Solomon Bayo ASEA,Uganda
H. E. Dr. Wilfried Platzer,Austria
H. E. Edward Drozniak,Polish People’s Republic
H. E. Ghulam Ahmed,Pakistan
H. E. H.L.T. Taswell,South Africa
H. E. Hosea Josias Soko,Republic of Zambia
H. E. Ibrahim Al-Sowayel,Saudi Arabia
H. E. Ibrahim Hussein El-Ahdab,Lebanon
H. E. Khosro Khosrovani,Iran
H. E. Leon Ndenzako,Kingdom of Burundi
H. E. Louis Rakotomalala,Malagasy Republic
H. E. Lt. General Tran Thien Khiem,VietNam
H. E. Michel Gallin-Douathe,Central African Republic
H. E. Nassir Hani,Iraq
H. E. Oscar Ledesma,the Philippines
H. E. Petur Thorsteinsson,Iceland
H. E. Talat Al-Ghoussein,State of Kuwait
H. E. Tashoma Halie-Mariam,Ethiopia
H. E. Turgut Menemencioglu,Republic of Turkey
H. E. Veljko Micunovic,Socialist Federal Republic of Yugoslavia
H. E. William P. Fay,Ireland
"H. S. Hill, Brigadier General James D. Hughes",Military assistant to the president
H.E. Andre Therd,Haiti
H.E. Charles S.A. Ritchie),Canada
H.E. Chow Shu-Kai,China
H.E. Dato Ong Yoke Lin,Malaysia
H.E. Dr. Carlos Garcia-Bauer,Guatemala
H.E. Dr. Juan Plate,Paraguay
H.E. George R. Laking,New Zealand
H.E. Gustavo Larrea,Ecuador
H.E. Heinrich Knappstein,Germany
H.E. Hugo B. Margain,Mexico
H.E. Hyun Chul Kim),Korea
H.E. John Keith Waller,Australia
H.E. Juan Felipe Yriart,Uruguay
H.E. Julio Sanjines-Goitia,Bolivia
H.E. Juracy M. Magalhães,Brazil
H.E. Olavi Munnki,Finland
H.E. Radimiro Tomic,Chile
H.E. Ricardo E. Arias),Panama
H.E. Ricardo Midence Soto,Honduras
H.E. Ryuji Takeuchi,Japan
H.E. Sukich Nimmanheminda,Thailand
H.E. U On Sein,Burma
H.E. Vasco Vieira Garin,Portugal
"H.R. Haldeman, Bryce Harlow, John Ehrlichman",
Half of the House Republican Sophomore Class,REPUBLICAN
"Hampton Robb, J.J. Ryan, John Gay, G.F. Tyler Jr., Henry Stuart Hooker, Franklin Delano Roosevelt, Jr., D. E. Jackson Jr., N.T. Clark, T. B. Husband, Mr.",
"Hampton Robb, Jack L. Warner, Dr. Ross T. McIntire",Physician to the President
Harlan Cleveland,United States Permanent Representative to NATO
Harlan F. Stone,Supreme Court Justice
Harold Ickes,Secretary of the Interior
Harold Macmillan,British PM
Harry Dent,
Harry L. Hopkins,Administrator of the Federal Emergency Relief Administration
"Harry L. Hopkins, Marguerite Alice ""Missy"" LeHand, Capt. Wilson Brown)",Naval Aide
Harry S. Truman,POTUS
"Henrietta Anderson, Mr.",
Henry A. Kissinger,
Henry A. Wallace,Secretary of Agriculture
Henry L. Roosevelt,Assistant Secretary of the Navy
Henry Mauris Robinson (Los Angeles banker,
Henry Morgenthau Jr.,Sec. of the Treasury
"Henry Morgenthau, Jr.",Secretary of the Treasury
"Henry Morgenthau, Jr., Harry L. Hopkins, Prof. Raymond Moley, Donald Richberg",General Counsel & Executive Director: National Recovery Administration
"Henry Osthagen, Delia Heming, Mr. Eddie Peabody and Mrs. Eddie Peabody","Maude Peabody, nee Kelly"
Henry Richardson Labouisse Jr.,US Ambassador to Greece
Herbert B. Klein),
Herbert Hoover,POTUS
his children,
His Excellency Avraham Harman,Ambassador of Israel
His Excellency Baron Louis Scheyven,Ambassador of Belgium
His Excellency Carl W. A. Schurmann,Ambassador of the Netherlands
His Excellency Charles Lucet,Ambassador of the French Republic
His Excellency Edward Drozniak,Ambassador of the Polish People’s Republic
His Excellency Felix Schnyder,Ambassador of Switzerland
His Excellency Heinrich Knappstein,Ambassador of Federal Republic of Germany
"His Excellency John Keith Waller, C. B. E.",Ambassador of Australia
His Excellency Olavi Munkki,Ambassador of Finland
His Excellency Sergio Fenoaltea,Ambassador of Italy
"His Excellency Sir Patrick Dean, G.C.M.G.",British Ambassador
His Excellency the Marquis de Merry del Val,Ambassador of Spain
his family including daughter Nancy,
"his two daughters, Jose Manuel Casanova, Antonio Anton, Rafael Maria Angulo, Jose F. Barraque, German Beci, Alfredo O. Ceberio, Mr.",
his wife,"Mary Jones, née Gibbs"
Homer Stille Cummings,Attorney General
Hon Dean Rusk,Sec of State
Hon John J. Sparkman,Senate
Hon.,
Hon. Alexander I. Zinchuk,charge d’affaires of USSR
Hon. Angier Biddle Duke,Chief of Protocol
Hon. Clement J. Zablocki,HOR
Hon. Cyrus R. Vance,Deputy Sec. of Defense
Hon. Dr. Luben Guerassimov,Minister of the People’s Republic of Bulgaria
Hon. E. Ross Adair,HOR
Hon. Edna F. Kelly,HOR
Hon. Frank J. Lausche,Senate
Hon. H. Ross Perot,"President, Electronic Data Systems, Dallas, Texas"
Hon. Harold S. Geneen,"Chairman, International Telephone & Telegraph Corp., NYC"
"Hon. Harry H. McPherson, Jr.",Special assistant to the president
Hon. J. de Menezes Rosa,charge d’affaires of Portugal
Hon. James W. Symington,Chief of Protocol
Hon. John M. King,"Chairman, King ReSources Co., Denver, Colorado"
Hon. John W. Rollins,"Chairman, Rollins International, Inc. Wilmington, Delaware"
Hon. Omar Burleson,HOR
Hon. Per Fergo,Charge d’affaires of Denmark
Hon. Robert O. Anderson,"Chairman, Atlantic Richfield Co., NYC"
Hon. Stuart Symington,Senate
Hon. Thomas E. Morgan,HOR
Hon. Vincent de Roulet,US Ambassador to Jamaica
Hon. W. Clement Stone,"President, Combined Insurance Company of America, Chicago Illinois"
Hon. Wayne L. Hays,HOR
honor the PRC liaison office by members of Congress who toured China: Senator,
Hoover’s Stanford friend),
"Hope Ridings Miller, Mrs. Drew Pearson, Mrs. Menemencioglu",
House ACORNS,
House Southern Democrats,
"Howard Jenkins, Jr., John Powell, Curtis Crawford, Dr. Alfred L. Edwards)",
Howard Longway Jr.,VT FFA
"Human Services) \[rest of cabinet\], \[certain Senior White House staff\]",
Inspector J. Franklin,security officer
Ishbesl MacDonald,Ramsay MacDonald’s daughter
Ismet Inonu,PM of Turkey
"J. Fred Buzhardt, Jr.",Counsel
Jack,Valenti again?
Jack Brooks),
Jack Greenway,Isabella Greenway’s son
Jack Valenti,White House Chief of Staff
Jack Vaughn,Asst. Sec of State
"Jackie Lattimer, Greg",
"Jake Jacobson, Jesse Kellon, Ashton",
James A. Farley,Postmaster General
James A. Hollinger,Secret Service
James A. Moffett,Vice President of Standard Oil of New Jersey
James Addison Baker III,Secretary of Treasury
James Byrnes,Sec. of State
James Forrestal,Special Asst. to the President
"James R. Schlesinger, members of Congress",
James Roosevelt arrived on July 20,
"James Roosevelt, Capt. Walter N. Vernou",Naval Aide
"James Roosevelt, Harry L. Hopkins",Administrator of the Federal Emergency Relief Administration
"James Roosevelt, Marshall Rawle",Harvard friend of James Roosevelt
"James Roosevelt, Mrs. James Roosevelt (Betsey Roosevelt, née Cushing",and later Whitney
"James T. Lynn, OMB senior staff.",
James V. Forrestal,Secretary of the Navy
"Jane Parmenter, Sam",
Jane White,
Japanese Prince Kaya,
"Jean Gibbs, Capt. Walter N. Vernou",Naval Aide
Jean Monnet (advisor to FDR,
"Jeanie Deason, Marianne",
"Jeanne Viner, Lewis",
"Jerry H. Jones, key personnel from his dept",
"JFK and Jackie Kennedy, RFK",Attorney General
"JFK, LBJ",
Jim Jones,
Joan de Beauvoir de Havilland,aka Joan Fontaine \- actress
Joan Morgenthau,"Henry Morgenthau Jr,’s daughter"
"Joe D. Waggonner, Jr.",D-LA
John Chafee,Secretary of the Navy
"John Chafee, Sam Nunn, Carl Levin, Mrs. Levin, 29 total passengers visible from photo.",
John Comerford,SC FFA
John Connally,Secretary of the Navy
John D. Jernegan,"Deputy Assistant Secretary of State, NEA"
"John Ehrlichman, Leonard Clement, Harry Dent, Robert J. Brown, Stanley Scott, Edward Morgan, Ken Cole, Egil Krogh, John Whitaker, Dr. Ed Harper, Jeb Magruder, Colston A. Lewis, Frank Kent, George Haley, James E. Johnson, Samuel Jackson, Arthur McZier, John Wilks, Norman B. Houston, T. M. Alexander",?
John F. Kennedy,POTUS
John Foster Dulles,Secretary of State
John Gonella,
John H. Chafee,
John J. McCloy,Asst. Secretary of War
John L. Sullivan),Under Secretary of the Navy
John M. Leddy,Assistant Secretary of State for European Affairs
John McCloy,Under Secretary of War
John Nance Garner,Vice President
John Roosevelt,
John W. Wydler,R-NY
"Joseph E. Davies, Harry S. Truman",POTUS
Joseph P. Kennedy (Chair of the Securities,
Josette Laval,daughter of Pierre Laval
Juanita Roberts,chief personal secretary to President
Judge Robert Patterson,Undersecretary of War
Judy Agnew,Second Lady of The United States
Julie Eisenhower,
"Julie Eisenhower, East Wing Staff: Ollie Atkins, Mike Farrell, Bob Genader, Jan Valentine, Joyce Adams, Dora Tennant, Cathy Barker, Gwen King, Tom McCoy, Fred Jefferson, Carol Sampson, Mary Austermiller, Margaret Boyce, Sue Smith, Jeanie Graklanoff, Joan Crotty, Diane Carroll, Sandy Fox, Bill Gemmell, Jan Ingersoll, Nancy O’Brien, John Scarfone, Alex Schiavoni, Kathy Beery, Susan Porter, Joan Stevens, Cindy Vanden Heuval, Helen Smith, Terry Ivey, Patti Matson, Penny Adams, Lucy Winchester, Pat Howard, Susan Dolibois, Chris Alberts, Clement Conger, Wilma Sands, Betty Monkman",White House Curator
"Julie Eisenhower, servicemen from Washington area hospitals, including Walter Reed patient Mike Lindhurst",
"K. LeMoyne “Lem” Billings, Clem Norton (MA-Pol",
"Karen Baynard, Tom",
Karl Kincaide,MI FFA
Keith Green,WI FFA
Ken BeLieu,
Ken Cole,
Kenneth Adelman (Arms Control,
Kenneth Royall,Secretary of the Army
Kimon Diamantopoulos,Greek Ambassador
"King Mohammed Zahir Shah of Afghanistan, Spark Matsunaga",SEN-HI
Kirk Simpson,"Reporter, United Press International"
Lady Bird Johnson,Second Lady
"Lady Bird Johnson, National Farm",
"Lady Bird Johnson, the wife of Ne Win",President of Burma
LaMar Baker,R-TN
Larry Coleman,MS FFA
Larry Rasmussen,NE FFA
Laurence Richey,Secretary to the President
LBJ,Vice President
"LBJ, Claude Pepper, Dr. Jose Antonio Mora",Secretary General of the Organization of American States
"LBJ, Cong.",
"LBJ, Dean Rusk",Secretary of State
"LBJ, Gov. Ellington, Sec. Connally, Sen. Smathers, Sen. Talmadge, Sen. Cannon, Sen. Dodd, Sen. McCarthy, Sen. Ellender, Sen. Hickey, Sen. Jordan, Sen. Randolph, Sen. Mansfield, Sen. Dirksen, Sen. Engle, Sen. Long, Sen. Bible, Sen. Kuchel, Sen. Hartke, Mr. Clifford, Mr. Banker, Cong. Albert, Cong. Byrnes",
"LBJ, Hon. Dr. Gerald Hinteregger",Charge d’affaires of Austria
"LBJ, Jim Jones, Olivia Barclay, Mrs. Mary Beck, Diana Heiges, Mr.",
"LBJ, Mr.",
"LBJ, Mrs. Johnson",
"LBJ, Mrs. Johnson, Bill",
