stg_voyage_id,title,start_date,end_date,owner,location,time_text,passengers_raw,additional_info,sources,additional_sources,notes
74,1938-03-05,1938-03-05,,Secretary of the Navy (1936-1968),"Mount Vernon, VA",,"Secretary of the Navy ([Swanson](https://en.wikipedia.org/wiki/Claude_A._Swanson)?), [Admiral Chester W. Nimitz](https://en.wikipedia.org/wiki/Chester_W._Nimitz) and his family including daughter Nancy",,"[U.S. Department of State Press Releases, Vol. 18, p. 281](https://www.google.com/books/edition/Press_Releases/g4lHAQAAMAAJ?hl=en&gbpv=1&dq=sequoia&pg=PA282&printsec=frontcover) [1938.03.05\_The\_Miami\_News at\_Newspapers.com\_pg9.pdf](https://drive.google.com/file/d/1Zmct7qdWJxVpETij4c6LAlfREu2aKeXj/view?usp=drive_link) [1938.03.07\_Reno\_Gazette\_Journal.jpg](https://drive.google.com/file/d/1-OUNckWUnrcB_qHOng0EhdzCUoQis5du/view?usp=drive_link) [https://www.brookings.edu/blog/order-from-chaos/2021/04/14/oman-first-arab-leader-to-washington-in-1938-and-due-for-another-visit/](https://www.brookings.edu/blog/order-from-chaos/2021/04/14/oman-first-arab-leader-to-washington-in-1938-and-due-for-another-visit/) https://history.state.gov/departmenthistory/visits/1938 1938-03-04 Secretary of State [Sumner Welles](https://en.wikipedia.org/wiki/Sumner_Welles) hosted a Dinner in honor of His Highness Sultan of Muscat and Oman at [Sulgrave Club](https://en.wikipedia.org/wiki/Sulgrave_Club). [https://www.google.com/books/edition/Press\_Releases/g4lHAQAAMAAJ?hl=en\&gbpv=1\&dq=%22John+A.+Crane%22+oman\&pg=PA283\&printsec=frontcover](https://www.google.com/books/edition/Press_Releases/g4lHAQAAMAAJ?hl=en&gbpv=1&dq=%22John+A.+Crane%22+oman&pg=PA283&printsec=frontcover) [http://www.afsa.org/sites/default/files/fsj-1938-04-april\_0.pdf](http://www.afsa.org/sites/default/files/fsj-1938-04-april_0.pdf) Nimitz by [E.B. Potter](https://www.google.com/search?tbo=p&tbm=bks&q=inauthor:%22E.B.+Potter%22) Naval Institute Press, Nov 12, 2013 \- page 169; The Admirals: Nimitz, Halsey, Leahy, and King--The Five-Star Admirals Who Won the War at Sea, by [Walter R. Borneman](https://www.google.com/search?tbo=p&tbm=bks&q=inauthor:%22Walter+R.+Borneman%22), Little, Brown, May 1, 2012; Commander in Chief: Franklin Delano Roosevelt, His Lieutenants, and Their War by Eric Larrabee, Simon and Schuster, Aug 15, 1988 \- page 357\.",,
75,1940-06-15,1940-06-15,,Secretary of the Navy (1936-1968),,,,,[https://www.dropbox.com/search/personal?path=%2F\&preview=id%3A9FchkPVYu2AAAAAAAAATPg\&query=June+14+1940\&search\_token=MFIExZL9iFjdYmHbRA8Uzha07sWyl6crvefv5oJYIT4%3D\&typeahead\_session\_id=40840289228888044369941720829813](https://www.dropbox.com/search/personal?path=%2F&preview=id%3A9FchkPVYu2AAAAAAAAATPg&query=June+14+1940&search_token=MFIExZL9iFjdYmHbRA8Uzha07sWyl6crvefv5oJYIT4%3D&typeahead_session_id=40840289228888044369941720829813) [https://www.jstor.org/stable/j.ctt1btbxdq.6](https://www.jstor.org/stable/j.ctt1btbxdq.6),,"Purported cruise by FDR with Rene de Chambrun, emissary of Paul Reynaud. While on the cruise, he learns that the Wehrmacht has crossed the Seine River into Loire. (*Rock of Contention: Free French and Americans at War in New Caledonia, 1940-1945*, p. 7). Wikipedia claims Rene de Chambrun did not meet FDR for the first time until 6-16, two days after this claimed cruise."
76,1940-07-13,1940-07-13,,Secretary of the Navy (1936-1968),,14:00 to 21:00,"[Frank Knox](https://en.wikipedia.org/wiki/Frank_Knox) (Sec. of Navy), Captain [Morton Deyo](https://en.wikipedia.org/wiki/Morton_Deyo) (naval aide to Sec. of Navy) and Mrs. Deyo (Maria Deyo, née Mayo), [James Forrestal](https://en.wikipedia.org/wiki/James_Forrestal) (Special Asst. to the President) and Mrs. Forrestal, [Mr. John Sullivan](https://en.wikipedia.org/wiki/John_L._Sullivan_\(United_States_Navy\)) (Asst. Sec. of the Treasury) and Mrs. John Sullivan (Priscilla Sullivan)",,"*Donovan: America’s Master Spy* by Richard Dunlop; “USS Sequoia ” *Naval History*, Volume 12, Issue 2; *Forrestal and the Navy,* by Robert Greenhalgh Albion and Robert Howe Connery; with the collaboration of Jennie Barnes Pope, foreword by [William T.R. Fox](https://en.wikipedia.org/wiki/William_T.R._Fox). page-8; *[Oral history by Vice Admiral Robert Henry Rice (Commanding Officer USS Sequoia 1939 – 1940\)](https://www.usnwcarchives.org/repositories/2/archival_objects/57672)* **Page-49, [Driven Patriot: The Life and Times of James Forrestal](https://books.google.com/books?id=lNzdwQOl8g0C&pg=PT124&lpg=PT124&dq=%22Sequoia%22+%22Yacht%22+%22bernard+baruch%22&source=bl&ots=UDON38fOYa&sig=ACfU3U1S_ljNFitue_y1BasIMQaMumJaaA&hl=en&sa=X&ved=2ahUKEwj-rK7SiafvAhX9FVkFHUBAAP4Q6AEwBXoECAgQAw) \- Townsend Hoopes and Douglas Brinkley 2012\.** **Notes:** [https://www.newspapers.com/image/22255566/](https://www.newspapers.com/image/22255566/) [https://issuu.com/fcohistorians/docs/pusdessays/39](https://issuu.com/fcohistorians/docs/pusdessays/39) [https://www.nps.gov/articles/wild-bill-donovan-and-the-origins-of-the-oss.htm](https://www.nps.gov/articles/wild-bill-donovan-and-the-origins-of-the-oss.htm) “The key contact was an old friend of Donovan’s, [William Stephenson](https://en.wikipedia.org/wiki/William_Stephenson), a Canadian air ace in World War I, who had become a wealthy steel magnate, and was in 1940 appointed the New York station chief for the [British Secret Intelligence Service (SIS, also known as MI6](https://en.wikipedia.org/wiki/Secret_Intelligence_Service)). In June 1940, Churchill dispatched Stephenson (code named ""Intrepid"") to New York to encourage increased American military aid. At a meeting at the [St. Regis Hotel](https://en.wikipedia.org/wiki/St._Regis_New_York), Stephenson invited his old acquaintance, Donovan, to visit Britain and personally evaluate its military and intelligence capabilities and assess its chances for surviving the German attack. Donovan went as Roosevelt’s personal envoy in July 1940.9” *Driven Patriot: The Life and Times of James Forrestal* by Douglas Brinkley; Townsend Hoopes; “USS Sequoia,” *Naval History*, Volume 12, Issue 2; *Forrestal and the Navy,* by Robert Greenhalgh Albion and Robert Howe Connery; with the collaboration of Jennie Barnes Pope, foreword by [William T.R. Fox](https://en.wikipedia.org/wiki/William_T.R._Fox). page-9.",,[Morton Deyo](https://en.wikipedia.org/wiki/Morton_Deyo) commanded the [destroyers](https://en.wikipedia.org/wiki/Destroyer) (including the [Wickes Class Destroyer](https://en.wikipedia.org/wiki/Destroyer) the [USS\_Upshur\_(DD-144)](https://en.wikipedia.org/wiki/USS_Upshur_\(DD-144\)) which appeared in the \[date\] LeHand film) which provided the first American escort assistance to allied convoys to [England](https://en.wikipedia.org/wiki/England) just prior to the [Japanese](https://en.wikipedia.org/wiki/Japan) [attack on Pearl Harbor](https://en.wikipedia.org/wiki/Attack_on_Pearl_Harbor).
77,1940-08-05,1940-08-05,,Secretary of the Navy (1936-1968),DC Navy Yard,Dinner,"[Frank Knox](https://en.wikipedia.org/wiki/Frank_Knox) (Sec. of Navy), [William J. Donovan](https://en.wikipedia.org/wiki/William_J._Donovan), [Edgar Ansel Mowrer,](https://en.wikipedia.org/wiki/Edgar_Ansel_Mowrer) (Former Bureau Chief of Knox’s paper the Chicago Daily News), [Admiral Harold Rainsford “Betty” Stark](https://en.wikipedia.org/wiki/Harold_Rainsford_Stark) (chief of naval operations), [brigadier general Sherman Miles](https://en.wikipedia.org/wiki/Sherman_Miles) (head of the [Military Intelligence Division of the U.S. Army](https://en.wikipedia.org/wiki/Military_Intelligence_Division)).","Donavan returned from U.K. on August 4, 1940 at 7:30PM and went immediately from LaGuardia Marine Air Terminal with the FBI to DC for a private debriefing the morning of August 5th with Knox in his office and then a dinner aboard Sequoia that evening.","[Rendezvous with Destiny, How Franklin D. Roosevelt and Five Extraordinary Men Took America into the War and into the World](https://www.nytimes.com/2013/07/28/books/review/rendezvous-with-destiny-by-michael-fullilove.html) – by [Michael Fullilove](https://en.wikipedia.org/wiki/Michael_Fullilove) (2013) **Page-55;** Need to Know: World War II and the Rise of American Intelligence \- by Nicholas Reynolds (2022) Page 29 \[Frank Knox to Annie Knox, Aug. 8, 1941, Box 62, PSF, FDR Library (FDRL)\].",,**Notes:**
78,1940-08-27,1940-08-27,,Secretary of the Navy (1936-1968),"[Banana River Naval Air Station, FL](https://en.wikipedia.org/wiki/Patrick_Space_Force_Base)",,"[Frank Knox](https://en.wikipedia.org/wiki/Frank_Knox) (Secretary of the Navy) and Mrs. Knox (Annie Knox, née Reid) Mrs. Reid (Annie Knox’s sister), Lieutenant [Robert Henry Rice](https://valor.militarytimes.com/hero/20809) (*Sequoia* captain)",Frank Knox takes *Sequoia* to inspect Banana River Naval Air Station “last week” according to an article in *The Chatham Press* on 1941-3-14.,"“USS Sequoia,” *Naval History*, Volume 12, Issue 2; [*Oral history by Vice Admiral Robert Henry Rice (Commanding Officer USS Sequoia 1939 – 1940\)*](https://www.usnwcarchives.org/repositories/2/archival_objects/57672) **1940-09-07** “[**Black Saturday**](https://www.theatlantic.com/magazine/archive/2008/04/black-saturday/306706/)”, as it became known, marked the start of The Blitz, an eight-month-long series of night attacks which destroyed vast swathes of London’s industry and housing, causing unimaginable despair among the civilians who endured it.https://www.bbc.com/future/article/20201127-the-forgotten-fighter-plane-which-won-the-battle-of-britain [*Chatham Press* clipping in DropBox](https://www.dropbox.com/s/8u3s07lc8la9jln/The_Chatham_Press_Fri__Mar_14__1941_.jpg?dl=0); VADM Robert Henry Rice interview (\~10:40) [https://www.usnwcarchives.org/repositories/2/archival\_objects/57672](https://www.usnwcarchives.org/repositories/2/archival_objects/57672)","Sequoia sustained minor damage on the way to Banana River Naval Air Station. **Notes:** [Patrick Air Force Base](https://en.wikipedia.org/wiki/Patrick_Space_Force_Base) is a [United States Air Force](https://en.wikipedia.org/wiki/United_States_Air_Force) installation located between [Satellite Beach](https://en.wikipedia.org/wiki/Satellite_Beach) and [Cocoa Beach](https://en.wikipedia.org/wiki/Cocoa_Beach), in [Brevard County, Florida](https://en.wikipedia.org/wiki/Brevard_County,_Florida). It was originally opened and operated from 1940 to 1947 as Naval Air Station Banana River, a [U.S. Navy](https://en.wikipedia.org/wiki/U.S._Navy) airfield. It was then deactivated as a naval installation in 1947 and placed in caretaker status until it was transferred to the Air Force in late 1948\.","RMD: *The Chatham Press*: Secretary Knox “was on his way to inspect the Banana River Naval Air Station, when his boat stubbed its nose on our doorstep. Of course it didn’t do very much damage, either the boat or the draw, and the Sequoia proceeded about seventy miles down the Indian River to Melbourne, where there is a basin and facilities for repair.”"
79,1941-07-07,1941-07-07,,Secretary of the Navy (1936-1968),,18:00,"[Frank Knox](https://en.wikipedia.org/wiki/Frank_Knox) (Secretary of the Navy), [Judge Robert Patterson](https://en.wikipedia.org/wiki/Robert_P._Patterson) (Undersecretary of War), [John J. McCloy](https://en.wikipedia.org/wiki/John_J._McCloy) (Asst. Secretary of War), [Robert A. Lovett](https://en.wikipedia.org/wiki/Robert_A._Lovett) (Asst. Secretary of War for Air)","“6:00 Dinner with Sec. Knox, Judge Patterson, Mr. Lovett, Mr. Forrestal, on board SS Sequoia \- general discussion of Iceland message, and affairs affecting Army and Navy.”","[McCloy Diary, 1941, pg. 74](https://www.dropbox.com/s/gub0cy5ec6sbpep/McCloy_diary_1941.pdf?dl=0) [**1941-07-07 FRANKLIN D. ROOSEVELT'S MESSAGE TO CONGRESS ON U. S. OCCUPATION OF ICELAND**](http://www.ibiblio.org/pha/policy/1941/410707a.html) [https://history.army.mil/books/70-7\_03.htm](https://history.army.mil/books/70-7_03.htm) [https://www.marines.mil/Portals/1/Publications/The%20United%20States%20Marines%20in%20Iceland,%201941-1942%20%20PCN%2019000412300.pdf](https://www.marines.mil/Portals/1/Publications/The%20United%20States%20Marines%20in%20Iceland,%201941-1942%20%20PCN%2019000412300.pdf)",,"“At the outbreak of the war Iceland enjoyed the status of autonomous parliamentary monarchy, sharing the same king with Denmark.When the Nazis over an the later nations in April 1940, the Icelandic Parliament voted to take over the executive power the Danish King and to assume control of foreignafairs.The strategic island became,for all practical purposes,”"
80,1941-07-11,1941-07-11,,Secretary of the Navy (1936-1968),Potomac River,Evening,"[Frank Knox](https://en.wikipedia.org/wiki/Frank_Knox), [Lord Halifax](https://en.wikipedia.org/wiki/Edward_Wood,_1st_Earl_of_Halifax) (British Ambassador), Dorothy Onslow (Viscountess Halifax), [Capt. Frank E. Beatty (USN)](https://en.wikipedia.org/wiki/Frank_Edmund_Beatty_Jr.), Mrs. Beatty, [Adlai Stevenson](https://en.wikipedia.org/wiki/Adlai_Stevenson_II)",Dinner party in honor of the British Ambassador and his wife. The article also notes that Knox was living on the Sequoia for the summer.,[Evening Star Article](https://www.dropbox.com/s/pnqhbjptprnvlq0/Evening_star_Sat__Jul_12__1941_.jpg?dl=0),,"In 1940, Stevenson became a special assistant to Colonel Frank Knox, the secretary of the Navy. In that position, he wrote speeches, represented the secretary and the Navy on committees, and generally handled administrative duties."
81,1941-10-2? (sometime before the 7th),1941-10-2,,Secretary of the Navy (1936-1968),Potomac River,,"[Frank Knox](https://en.wikipedia.org/wiki/Frank_Knox) (Secretary of the Navy), Senator [Styles Bridges](https://en.wikipedia.org/wiki/Styles_Bridges) (R-NH), Senator [Wallace H. White](https://en.wikipedia.org/wiki/Wallace_H._White_Jr.) (R-ME) and Senator [Joseph H. Ball](https://en.wikipedia.org/wiki/Joseph_H._Ball) (R-MN)",Knox lobbied to have GOP eliminate Foreign Policy as an issue in 1942 Congressional Elections,[Muscatine Journal article](https://www.dropbox.com/s/7cko68gkkwqe4yz/The%20Muscatine%20Journal%20and%20News-Tribune%2C%20Fri%2C%20Oct%2024%2C%201941.jpg?dl=0),,
82,1941-12-08– FDR’s Day of Infamy Address,1941-12-08,,Secretary of the Navy (1936-1968),,,,,[https://www.c-span.org/video/?419693-1/president-roosevelts-day-infamy-address-congress](https://www.c-span.org/video/?419693-1/president-roosevelts-day-infamy-address-congress),,
83,1942-06-09,1942-06-09,,Secretary of the Navy (1936-1968),,,"[Felix Frankfurter](https://en.wikipedia.org/wiki/Felix_Frankfurter) (Supreme Court Justice), [Lord Halifax](https://en.wikipedia.org/wiki/Edward_Wood,_1st_Earl_of_Halifax) (British Ambassador to the United States)",Ambassador Lord Halifax and [Felix Frankfurter](https://en.wikipedia.org/wiki/Felix_Frankfurter) meet on *Sequoia* to discuss American perceptions of British imperialism in India.,"*The Brandeis-Frankfurter Connection: The Secret Political Activities of Two Supreme Court Justices*, pp. 278-9 April 14, 1942 “Johnson Formula” [https://www.jstor.org/stable/3640705](https://www.jstor.org/stable/3640705)",,"Franklin D. Roosevelt, Louis Johnson, India, and Anticolonialism: Another Look on JSTOR"
84,1942-06-16 to 1942-06-17,1942-06-16,1942-06-17,Secretary of the Navy (1936-1968),Washington Navy Yard,,"[Frank Knox](https://en.wikipedia.org/wiki/Frank_Knox) (Secretary of the Navy), [Albert \[Lasker\]](https://en.wikipedia.org/wiki/Albert_Lasker) and [\[Alexander P.\] Seversky](https://en.wikipedia.org/wiki/Alexander_P._de_Seversky)","“We went to see Knox on the 16th of June, 1942, and we drove to his houseboat, the Sequoia, a shiny boat with plenty of sailors to salute, and set out down the Potomac for the night. We really didn't succeed in accomplishing anything for air power that particular day. Knox had no imagination in this area at all.”",[Columbia University Library Oral History Project Notable New Yorkers (Mary Lasker) pg. 96](http://www.columbia.edu/cu/lweb/digital/collections/nny/laskerm/transcripts/laskerm_1_3_96.html),,
85,1942-08-18 to 1942-08-19,1942-08-18,1942-08-19,Secretary of the Navy (1936-1968),Washington Navy Yard,,"[Frank Knox](https://en.wikipedia.org/wiki/Frank_Knox) (Secretary of the Navy), [Donald Nelson](https://en.wikipedia.org/wiki/Donald_Nelson) and [Admiral Sherman](https://en.wikipedia.org/wiki/Forrest_Sherman), [Albert \[Lasker\]](https://en.wikipedia.org/wiki/Albert_Lasker) and [\[Alexander P.\] Seversky](https://en.wikipedia.org/wiki/Alexander_P._de_Seversky)","“Now, later, \[Frank Knox\] invited us to come back and to talk to [Donald Nelson](https://en.wikipedia.org/wiki/Donald_Nelson) and [Admiral Sherman](https://en.wikipedia.org/wiki/Forrest_Sherman), and we went back, and [Albert \[Lasker\]](https://en.wikipedia.org/wiki/Albert_Lasker) and [\[Alexander P.\] Seversky](https://en.wikipedia.org/wiki/Alexander_P._de_Seversky) spent the night on Knox's boat on the 18th of August, '42. Knox and Sherman didn't believe Seversky, when he said that the Army would have bombers coming off the production line in two weeks with a range of 5,500 miles. They never even heard of such a thing. Nelson said it was true. Imagine, the Army conducting their air war in secrecy from the Secretary of the Navy, but it was being done that way. He had no understanding of the use of air power at all and backed up the most old-hat, out-of-date admirals. It made me feel like wanting to be a hermit living in the mountains, it seemed so mad, unnecessary and insecure for the country”","[Columbia University Library Oral History Project Notable New Yorkers (Mary Lasker) pg. 97](http://www.columbia.edu/cu/lweb/digital/collections/nny/laskerm/transcripts/laskerm_1_3_97.html) The [**Third Washington Conference**](https://en.wikipedia.org/wiki/Washington_Conference_\(1943\)) ([codenamed](https://en.wikipedia.org/wiki/Code_name) Trident[\[2\]](https://en.wikipedia.org/wiki/Washington_Conference_\(1943\)#cite_note-WSC_Closing_the_Ring-2)) was held in [Washington, D.C](https://en.wikipedia.org/wiki/Washington,_D.C.) from May 12 to May 25, 1943\.",,
86,1943-06-26,1943-06-26,,Secretary of the Navy (1936-1968),"[Yorktown, VA](https://en.wikipedia.org/wiki/Yorktown,_Virginia)",,[Frank Knox](https://en.wikipedia.org/wiki/Frank_Knox) and Mrs. Knox (Annie Reid Knox),"“Former skipper [John Besson, Jr.](https://www.history.navy.mil/research/library/research-guides/modern-biographical-files-ndl/modern-bios-b/besson-john-henry-jr.html) recalls taking the Secretary of the Navy and Mrs. Knox in *Sequoia* to Yorktown, Virginia, in 1943\. Mrs. Knox was en route to Newport News to christen the carrier [*USS Hornet*](https://en.wikipedia.org/wiki/USS_Hornet_\(CV-12\)).” \[Kelly 28\] which is now the [*USS Hornet* museum ship](https://uss-hornet.org/) in Alameda, CA","[Diary of John J. McCloy pg. 265](https://www.dropbox.com/s/me1s92qg6n1asye/McCloy_diary_1943.pdf?dl=0) *Sequoia: Presidential Yacht*, p. 28",,"“6:30 Dinner on Secretary Forrestal's yacht.” “As Officer in Charge of the Secretary of the Navy’s yacht, USS Sequoia, [Commander Besson navigated the Potomac River with Secretary Knox living on board, during the summer of 1943](https://www.history.navy.mil/research/library/research-guides/modern-biographical-files-ndl/modern-bios-b/besson-john-henry-jr.html). Detached from duty in Washington in October 1943 he reported for duty in connection with fitting out and commissioning a 2100 ton destroyer at Seattle” Photos of the christening"
87,1943-10-04,1943-10-04,,Secretary of the Navy (1936-1968),,19:00 \-,"\[Frank Knox?\], [John J. McCloy](https://en.wikipedia.org/wiki/John_J._McCloy) (Asst. Secretary of War), [Ralph Austin Bard](https://en.wikipedia.org/wiki/Ralph_Austin_Bard) (Assistant Secretary of the Navy), Sec. [Robert A. Lovett](https://en.wikipedia.org/wiki/Robert_A._Lovett) (Asst Secretary of War for Air), [Admiral William Harrison Standley](https://en.wikipedia.org/wiki/William_Harrison_Standley)",“Bard’s dinner party in honor of Admiral Stanley”,[Diary of John J. McCloy](https://www.dropbox.com/search/work?path=%2F&preview=id%3AaCgor1sHxFAAAAAAAAADjQ&query=James+Forrestal&search_token=9vjKCMin85VFWEf9qtcJc1Ykfh6KdsrI3NYmeg1BjHE%3D&typeahead_session_id=96780046732653951457889113174487),,“6:25 Left office with Mr. Lovett for Bard's dinner party in honor of Admiral Stanley on board Knox's Sequoia.”
88,1944-04-08,1944-04-08,,Secretary of the Navy (1936-1968),,7:30,"[James Forrestal](https://en.wikipedia.org/wiki/James_Forrestal) (Deputy Sec. of Navy) Dinner, Cdr. Thorne Donnelly and Mrs. Donnelly (Mary Donnelly?), Major Lawson, Col. [C. V. Whitney](https://en.wikipedia.org/?title=C._V._Whitney&redirect=no) (close friend of Forrestal who landed on Iwo Jima with Forrestal) and [Mrs. Whitney (Eleanor Searle Whitney)](https://en.wikipedia.org/wiki/Eleanor_Searle) (4 regrets)",,"\[Compiled from Forrestal’s Appointment Calendar Personal Papers\]. Forrestal and the Navy, by Robert Greenhalgh Albion and Robert Howe Connery; with the collaboration of Jennie Barnes Pope, foreword by [William T.R. Fox](https://en.wikipedia.org/wiki/William_T.R._Fox). page-292. [Photo](https://en.wikipedia.org/wiki/File:USNPSL_Thorne_Donnelley_19.jpg) [Divorce Article](https://www.newspapers.com/clip/14698476/donnelley-thorne-trial-concerning/) [C. V. Whitney](https://en.wikipedia.org/?title=C._V._Whitney&redirect=no) became involved in the motion picture industry, notably with his cousin [John Hay Whitney](https://en.wikipedia.org/wiki/John_Hay_Whitney) as a major shareholder backing the [Technicolor Corporation](https://en.wikipedia.org/wiki/Technicolor). “In 1927, Whitney joined with William Avery Rockefeller III and other investors to back Juan Trippe in establishing the Aviation Corporation of America, which a year later would become Pan American World Airways.” [https://www.newspapers.com/clip/14796076/formation-of-aviation-corporation-of/](https://www.newspapers.com/clip/14796076/formation-of-aviation-corporation-of/) https://en.wikipedia.org/wiki/Juan\_Trippe",,"Cmdr. Thorne Donnelley, U.S.N.R., commander of the United States Naval Photographic Science Lab at Anacostia Naval Air Station, Washington, D.C."
89,1944-04-13,1944-04-13,,Secretary of the Navy (1936-1968),,19:30,"[James Forrestal](https://en.wikipedia.org/wiki/James_Forrestal) (Deputy Sec. of Navy), [Kimon Diamantopoulos](https://docs.google.com/document/d/1PEPkln46Sm-VhA-ZpjhblFCUB3167D0TstAtp-tV15k/edit?usp=sharing) (Greek Ambassador) & Mme. Ambassador, Mr. [Frederick Sterling](https://en.wikipedia.org/wiki/Frederick_A._Sterling) and Mrs. Sterling (Dorothy Sterling, née Williams), Adm. [William W. Smith](https://en.wikipedia.org/wiki/William_W._Smith_\(admiral\)) and Mrs. Smith (Elizabeth Smith, née Purdy) (11 regrets)",Dinner was served,"\[Compiled from Forrestal’s Appointment Calendar Personal Papers\]. Forrestal and the Navy, by Robert Greenhalgh Albion and Robert Howe Connery; with the collaboration of Jennie Barnes Pope, foreword by [William T.R. Fox](https://en.wikipedia.org/wiki/William_T.R._Fox). page-292. **Notes:** Simon Diamantopoulos → [Photo](https://www.loc.gov/item/2017697588/) , [Published academic paper](https://www.jstor.org/stable/1023343?refreqid=excelsior%3A0a76e47f599a267a7ebabfda0e576ea8&seq=1) [**The Greco-Italian War (28 October 1940 to 23 April 1941\)**](https://en.wikipedia.org/wiki/Greco-Italian_War) [Newsreel](https://www.britishpathe.com/video/griswold-arrives-in-stockholm) Dwight Griswold, Chief of the US aid mission to Greece and the body of late Greek ambassador to Washington Kimon Diamantopoulos arrive in Greece (1947)",,"“Within hours of the Italian invasion, they were meeting informally to decide on a course of action. Numerous Greek service organizations, as well as over 120 major voluntary associations, convened under the leadership of Archbishop Athenagoras and Greece’s Ambassador to the United States, Kimon Diamantopoulos. They formed the Greek War Relief Association and were granted a charter by the American government to raise funds for relief of the Greek people.”"
90,1944-04-14,1944-04-14,,Secretary of the Navy (1936-1968),,19:15,[James Forrestal](https://en.wikipedia.org/wiki/James_Forrestal) (Deputy Sec. of Navy),Dinner was served,"\[Compiled from Forrestal’s Appointment Calendar Personal Papers\]. Forrestal and the Navy, by Robert Greenhalgh Albion and Robert Howe Connery; with the collaboration of Jennie Barnes Pope, foreword by [William T.R. Fox](https://en.wikipedia.org/wiki/William_T.R._Fox). page-292.",,
91,1944-04-17,1944-04-17,,Secretary of the Navy (1936-1968),,19:15,"[James Forrestal](https://en.wikipedia.org/wiki/James_Forrestal) (Deputy Sec. of Navy) “[Laurance Rockefellers](https://en.wikipedia.org/wiki/Laurance_Rockefeller), etc.”",Dinner was served;,"During World War II, Laurance served in the U.S. Navy (1942-1945) in the [Bureau of Aeronautics](https://en.wikipedia.org/wiki/Bureau_of_Aeronautics), attaining the rank of lieutenant commander. \[Oil industry meeting next day\] Cocktails (Oil Delegation) Mr. Wilkinson, 2728 36th PI. and meeting British Embassy \[Compiled from Forrestal’s Appointment Calendar Personal Papers\]. Forrestal and the Navy, by Robert Greenhalgh Albion and Robert Howe Connery; with the collaboration of Jennie Barnes Pope, foreword by [William T.R. Fox](https://en.wikipedia.org/wiki/William_T.R._Fox). page-292.",,
92,1944-04-18,1944-04-18,,Secretary of the Navy (1936-1968),,19:45,"[James Forrestal](https://en.wikipedia.org/wiki/James_Forrestal) (Deputy Sec. of Navy), Mrs. [Warren Robbins](https://en.wikipedia.org/wiki/Warren_Delano_Robbins) ([Irene Delano Robbins](https://ancestors.familysearch.org/en/LR9L-BH4/irene-de-bruyn-1888-1960), née de Bruyn), Gen. Charles Lindemann",Dinner was served,"[Warren-de Bruyn *NYT* marriage announcement](https://timesmachine.nytimes.com/timesmachine/1910/08/23/104948845.html) \[Compiled from Forrestal’s Appointment Calendar Personal Papers\]. Forrestal and the Navy, by Robert Greenhalgh Albion and Robert Howe Connery; with the collaboration of Jennie Barnes Pope, foreword by [William T.R. Fox](https://en.wikipedia.org/wiki/William_T.R._Fox). page-292.",,
93,1944-05-04,1944-05-04,,Secretary of the Navy (1936-1968),,19:30,"[James Forrestal](https://en.wikipedia.org/wiki/James_Forrestal) (Deputy Sec. of Navy), [Robert P. Patterson](https://en.wikipedia.org/wiki/Robert_P._Patterson) (Under Secretary of War) Wilson, Commodore Carter ([Worrall Reed Carter](https://www.history.navy.mil/research/library/research-guides/modern-biographical-files-ndl/modern-bios-c/carter-worrall-reed.html) or [Andrew Francis Carter](https://www.history.navy.mil/research/library/research-guides/modern-biographical-files-ndl/modern-bios-c/carter-andrew-francis.html)? AF Carter was promoted to Commodore in July 1943, WR Carter was promoted in June 1944\)",Dinner was served,"(After May 1st, 1944 Funeral services for Navy Secretary [Frank Knox](https://en.wikipedia.org/wiki/Frank_Knox) who had died on April 28, 1944) \[Compiled from Forrestal’s Appointment Calendar Personal Papers\]. Forrestal and the Navy, by Robert Greenhalgh Albion and Robert Howe Connery; with the collaboration of Jennie Barnes Pope, foreword by [William T.R. Fox](https://en.wikipedia.org/wiki/William_T.R._Fox). page-293.",,
94,1944-05-05,1944-05-05,,Secretary of the Navy (1936-1968),,19:00,[John J. McCloy](https://en.wikipedia.org/wiki/John_J._McCloy) (Asst. Secretary of War) and presumably [James Forrestal](https://en.wikipedia.org/wiki/James_Forrestal) (Sec. of Navy),"“7:00 Dinner aboard the Sequoia, yacht of the Secretary of the Navy”",[McCloy Diary](https://www.dropbox.com/search/work?path=%2F&preview=id%3AaCgor1sHxFAAAAAAAAADjQ&query=James+Forrestal&search_token=9vjKCMin85VFWEf9qtcJc1Ykfh6KdsrI3NYmeg1BjHE%3D&typeahead_session_id=96780046732653951457889113174487),,
